AAPL,,,,,,,,,AAPL,,,,,,S&P,,,,,,,
Date ,Open,High,Low,Close,Adj Close,Volume ,Return,,Average Total,0.054%,,,,,Date ,Open,High,Low,Close,Adj Close,Volume ,Return
04-Nov-25,268.33,271.49,267.62,270.04,269.78,"4,92,74,800",Ý,,Standard Deviation ,0.011,,,,,04-Nov-25,"6,788.52","6,820.21","6,766.71","6,771.55","6,771.55","5,73,95,10,000",
05-Nov-25,268.61,271.7,266.93,270.14,269.88,"4,36,83,100",0.04%,,Covariance,5.64E-05,,,,,05-Nov-25,"6,769.77","6,829.78","6,763.11","6,796.29","6,796.29","5,93,96,00,000",0.365%
06-Nov-25,267.89,273.4,267.89,269.77,269.51,"5,12,04,000",-0.14%,,Variance,1.14E-04,,,,,06-Nov-25,"6,787.59","6,796.68","6,707.51","6,720.32","6,720.32","6,05,19,00,000",-1.118%
07-Nov-25,269.8,272.29,266.77,268.47,268.21,"4,82,27,400",-0.48%,,Beta,0.608,,,,,07-Nov-25,"6,696.18","6,730.11","6,631.44","6,728.80","6,728.80","5,92,60,70,000",0.126%
10-Nov-25,268.96,273.73,267.46,269.43,269.43,"4,13,12,400",0.45%,,Jensen Alpha,0.161%,,,,,10-Nov-25,"6,785.36","6,841.32","6,770.56","6,832.43","6,832.43","5,36,60,50,000",1.540%
11-Nov-25,269.81,275.91,269.8,275.25,275.25,"4,62,08,300",2.16%,,Treynor ratio,0.056%,,,,,11-Nov-25,"6,815.64","6,855.13","6,806.87","6,846.61","6,846.61","4,98,34,90,000",0.208%
12-Nov-25,275,275.73,271.7,273.47,273.47,"4,83,98,000",-0.65%,,Sharpe ratio ,0.032,,,,,12-Nov-25,"6,867.77","6,869.91","6,829.62","6,850.92","6,850.92","5,29,36,10,000",0.063%
13-Nov-25,274.11,276.7,272.09,272.95,272.95,"4,96,02,800",-0.19%,,,,,,,,13-Nov-25,"6,826.47","6,828.05","6,724.72","6,737.49","6,737.49","5,47,37,20,000",-1.656%
14-Nov-25,271.05,275.96,269.6,272.41,272.41,"4,74,31,300",-0.20%,,,,,,,,14-Nov-25,"6,672.14","6,774.31","6,646.87","6,734.11","6,734.11","5,04,26,60,000",-0.050%
17-Nov-25,268.82,270.49,265.73,267.46,267.46,"4,50,18,300",-1.82%,,,,,,,,17-Nov-25,"6,713.61","6,754.50","6,638.90","6,672.41","6,672.41","5,20,42,20,000",-0.916%
18-Nov-25,269.99,270.71,265.32,267.44,267.44,"4,56,77,300",-0.01%,,,,,,,,18-Nov-25,"6,641.19","6,666.63","6,574.32","6,617.32","6,617.32","5,15,93,90,000",-0.826%
19-Nov-25,265.53,272.21,265.5,268.56,268.56,"4,04,24,500",0.42%,,,,,,,,19-Nov-25,"6,625.84","6,689.75","6,603.50","6,642.16","6,642.16","5,02,16,10,000",0.375%
20-Nov-25,270.83,275.43,265.92,266.25,266.25,"4,58,23,600",-0.86%,,,,,,,,20-Nov-25,"6,737.93","6,770.35","6,534.05","6,538.76","6,538.76","5,59,60,80,000",-1.557%
21-Nov-25,265.95,273.33,265.67,271.49,271.49,"5,90,30,800",1.97%,,,,,,,,21-Nov-25,"6,555.77","6,660.05","6,521.92","6,602.99","6,602.99","5,92,99,30,000",0.982%
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
AMZ,,,,,,,,,AMZN,,,,,,,,,,,,,
Date ,Open,High,Low,Close,Adj Close,Volume ,Return ,,Total,-0.265%,,,,,,,,,,,,
18-Nov-25,228.1,230.2,222.42,222.55,222.55,"6,06,08,400",Ý,,Standard Deviation ,0.021,,,,,,,,,,,,
19-Nov-25,223.74,223.74,218.52,222.69,222.69,"5,83,35,600",0.06%,,Covariance,2.73E-04,,,,,,,,,,,,
20-Nov-25,227.05,227.41,216.74,217.14,217.14,"5,03,09,000",-2.49%,,Variance,4.34E-04,,,,,,,,,,,,
21-Nov-25,216.35,222.21,215.18,220.69,220.69,"6,84,90,500",1.63%,,Beta,1.552,,,,,,,,,,,,
,,,,,,,,,Jensen Alpha,0.040%,,,,,,,,,,,,
,,,,,,,,,Treynor ratio,-0.184%,,,,,,,,,,,,
,,,,,,,,,Sharpe ratio ,-0.223,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
IWM,,,,,,,,,IWM,,,,,,,,,,,,,
Date ,Open,High,Low,Close,Adj Close,Volume ,Return ,,Total,-0.169%,,,,,,,,,,,,
04-Nov-25,241.79,244.06,241,241.2,241.2,"3,44,68,700",Ý,,Standard Deviation ,0.016,,,,,,,,,,,,
05-Nov-25,241.96,245.73,241.64,244.68,244.68,"3,82,29,200",1.44%,,Covariance,1.30E-04,,,,,,,,,,,,
06-Nov-25,244.26,244.79,240,240.35,240.35,"4,06,01,200",-1.77%,,Variance,2.47E-04,,,,,,,,,,,,
07-Nov-25,238.41,241.66,236.27,241.61,241.61,"5,49,78,900",0.52%,,Beta,1.397,,,,,,,,,,,,
10-Nov-25,245.01,245.24,242.25,244.03,244.03,"3,12,38,000",1.00%,,Jensen Alpha,0.103%,,,,,,,,,,,,
11-Nov-25,243.37,244.74,242.52,244.24,244.24,"2,73,57,900",0.09%,,Treynor ratio,-0.135%,,,,,,,,,,,,
12-Nov-25,244.84,246.38,243.33,243.64,243.64,"3,55,43,200",-0.25%,,Sharpe ratio ,-0.120,,,,,,,,,,,,
13-Nov-25,241.84,242.68,235.84,236.79,236.79,"6,57,10,000",-2.81%,,,,,,,,,,,,,,,
14-Nov-25,233.34,238.73,233.27,237.48,237.48,"5,83,44,400",0.29%,,,,,,,,,,,,,,,
17-Nov-25,236.46,237.84,231.76,232.76,232.76,"5,57,65,900",-1.99%,,,,,,,,,,,,,,,
18-Nov-25,231.31,235.08,230.96,233.47,233.47,"6,30,92,500",0.31%,,,,,,,,,,,,,,,
19-Nov-25,233.8,236.37,232.43,233.43,233.43,"5,72,80,500",-0.02%,,,,,,,,,,,,,,,
20-Nov-25,237.24,239.1,228.9,229.11,229.11,"9,54,83,000",-1.85%,,,,,,,,,,,,,,,
21-Nov-25,229.96,237.11,229.58,235.6,235.6,"9,95,04,100",2.83%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
KO,,,,,,,,,KO,,,,,,,,,,,,,
Date ,Open,High,Low,Close,Adj Close,Volume ,Return ,,Total,0.339%,,,,,,,,,,,,
07-Nov-25,69.81,70.87,69.41,70.55,70.55,"2,51,08,300",Ý,,Standard Deviation ,0.010,,,,,,,,,,,,
10-Nov-25,70.01,70.66,69.44,70.52,70.52,"1,53,18,000",-0.04%,,Covariance,4.44E-05,,,,,,,,,,,,
11-Nov-25,70.98,71.75,70.66,71.61,71.61,"1,61,60,200",1.55%,,Variance,9.67E-05,,,,,,,,,,,,
12-Nov-25,71.49,71.89,71.34,71.51,71.51,"1,36,12,600",-0.14%,,Beta,0.404,,,,,,,,,,,,
13-Nov-25,71.42,71.67,71,71.07,71.07,"1,40,02,800",-0.62%,,Jensen Alpha,0.402%,,,,,,,,,,,,
14-Nov-25,71.41,71.64,70.6,71.16,71.16,"1,31,72,000",0.13%,,Treynor ratio,0.790%,,,,,,,,,,,,
17-Nov-25,71.2,71.53,70.62,70.68,70.68,"1,47,72,300",-0.67%,,Sharpe ratio ,0.325,,,,,,,,,,,,
18-Nov-25,70.99,71.34,70.57,71.22,71.22,"1,28,38,900",0.76%,,,,,,,,,,,,,,,
19-Nov-25,71.2,71.45,70.81,71.11,71.11,"1,24,01,500",-0.15%,,,,,,,,,,,,,,,
20-Nov-25,70.95,71.48,70.61,71.21,71.21,"1,53,96,500",0.14%,,,,,,,,,,,,,,,
21-Nov-25,71.68,73.19,71.49,72.95,72.95,"2,64,92,500",2.44%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LLY,,,,,,,,,LLY,,,,,,,,,,,,,
Date ,Open,High,Low,Close,Adj Close,Volume ,Return ,,Total,0.957%,,,,,,,,,,,,
18-Nov-25,"1,014.01","1,040.72","1,014.01","1,030.05","1,030.05","34,30,500",Ý,,Standard Deviation ,0.014,,,,,,,,,,,,
19-Nov-25,"1,029.64","1,055.59","1,026.25","1,049.60","1,049.60","35,71,200",1.90%,,Covariance,1.69E-04,,,,,,,,,,,,
20-Nov-25,"1,045.50","1,057.00","1,038.25","1,043.29","1,043.29","31,35,700",-0.60%,,Variance,1.85E-04,,,,,,,,,,,,
21-Nov-25,"1,041.00","1,066.65","1,038.00","1,059.70","1,059.70","42,66,700",1.57%,,Beta,0.962,,,,,,,,,,,,
,,,,,,,,,Jensen Alpha,1.020%,,,,,,,,,,,,
,,,,,,,,,Treynor ratio,0.973%,,,,,,,,,,,,
,,,,,,,,,Sharpe ratio ,0.689,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LMT,,,,,,,,,LMT,,,,,,,,,,,,,
Date ,Open,High,Low,Close,Adj Close,Volume ,Return ,,Total,-0.384%,,,,,,,,,,,,
04-Nov-25,484.46,488.5,481,484.98,484.98,"11,69,300",Ý,,Standard Deviation ,0.014,,,,,,,,,,,,
05-Nov-25,483.02,485.85,473.14,473.14,473.14,"17,08,000",-2.44%,,Covariance,-4.80E-05,,,,,,,,,,,,
06-Nov-25,473.11,474.18,466.11,468.92,468.92,"10,93,600",-0.89%,,Variance,1.95E-04,,,,,,,,,,,,
07-Nov-25,468.9,469.41,456.2,458.35,458.35,"25,14,500",-2.25%,,Beta,-0.516,,,,,,,,,,,,
10-Nov-25,456,457.1,448.48,452.1,452.1,"16,30,100",-1.36%,,Jensen Alpha,-0.512%,,,,,,,,,,,,
11-Nov-25,451.77,461.77,451,457.07,457.07,"13,22,100",1.10%,,Treynor ratio,0.782%,,,,,,,,,,,,
12-Nov-25,456.14,459.77,455.22,457.04,457.04,"9,35,400",-0.01%,,Sharpe ratio ,-0.290,,,,,,,,,,,,
13-Nov-25,458.01,460.91,455.1,455.85,455.85,"8,19,600",-0.26%,,,,,,,,,,,,,,,
14-Nov-25,455.85,466.39,454,465.77,465.77,"11,77,300",2.18%,,,,,,,,,,,,,,,
17-Nov-25,467.28,471.6,464.72,470.78,470.78,"18,22,400",1.08%,,,,,,,,,,,,,,,
18-Nov-25,475.22,485,471.2,474.72,474.72,"12,42,100",0.84%,,,,,,,,,,,,,,,
19-Nov-25,472,472.42,468.3,469.91,469.91,"8,61,300",-1.01%,,,,,,,,,,,,,,,
20-Nov-25,473.88,477.43,465.02,468.26,468.26,"10,44,900",-0.35%,,,,,,,,,,,,,,,
21-Nov-25,468.6,469.4,459.96,460.78,460.78,"15,75,300",-1.60%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MSFT,,,,,,,,,MSFT,,,,,,,,,,,,,
Date ,Open,High,Low,Close,Adj Close,Volume ,Return ,,Total,-1.021%,,,,,,,,,,,,
13-Nov-25,510.31,513.5,501.29,503.29,502.35,"2,52,73,100",,,Standard Deviation ,0.014,,,,,,,,,,,,
14-Nov-25,498.23,511.6,497.44,510.18,509.23,"2,85,05,700",1.370%,,Covariance,2.60E-05,,,,,,,,,,,,
17-Nov-25,508.45,512.12,504.91,507.49,506.54,"1,90,92,800",-0.528%,,Variance,1.86E-04,,,,,,,,,,,,
18-Nov-25,495.37,502.98,486.78,493.79,492.87,"3,38,15,100",-2.699%,,Beta,0.296,,,,,,,,,,,,
19-Nov-25,490.1,495.19,482.83,487.12,486.21,"2,32,45,300",-1.35%,,Jensen Alpha,-0.937%,,,,,,,,,,,,
20-Nov-25,492.71,493.57,475.5,478.43,478.43,"2,68,02,500",-1.60%,,Treynor ratio,-3.523%,,,,,,,,,,,,
21-Nov-25,478.5,478.92,468.27,472.12,472.12,"3,17,69,200",-1.32%,,Sharpe ratio ,-0.763,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
VOO,,,,,,,,,VOO,,,,,,,,,,,,,
Date ,Open,High,Low,Close,Adj Close,Volume ,Return ,,Total,-0.053%,,,,,,,,,,,,
18-Nov-25,608.72,611.51,603,607,607,"85,42,600",Ý,,Standard Deviation ,0.013,,,,,,,,,,,,
19-Nov-25,607.52,613.57,605.67,609.2,609.2,"74,49,400",0.36%,,Covariance,1.73E-04,,,,,,,,,,,,
20-Nov-25,618.72,621.13,599.36,599.96,599.96,"1,39,85,000",-1.52%,,Variance,1.71E-04,,,,,,,,,,,,
21-Nov-25,602.25,611.01,598.38,605.93,605.93,"98,21,400",1.00%,,Beta,0.985,,,,,,,,,,,,
,,,,,,,,,Jensen Alpha,0.012%,,,,,,,,,,,,
,,,,,,,,,Treynor ratio,-0.074%,,,,,,,,,,,,
,,,,,,,,,Sharpe ratio ,-0.056,,,,,,,,,,,,
