Symbol,Description,Quantity,Last Price,Price Paid,Total price,Day Change,Profit/Loss,Market Value,Profit/Loss Percentage,Beginning proportion ,Closing proportion ,Weight,,,,,
ĀAAPL,Apple Inc.,500,$277.55 ,$270.42 ,"$1,35,210.00 ",$0.58 ,"$3,565.00 ","$1,38,775.00 ",2.64%,1.35%,1.40%,2.96%,,,,,
ĀAMZN,"Amazon.com, Inc","1,995.00",$229.16 ,$221.88 ,"$4,42,650.60 ",-$0.51,"$14,523.20 ","$4,57,174.20 ",3.28%,4.43%,4.60%,9.52%,,,,,
ĀIWM,iShares Russell 2000 ETF,"1,000.00",$247.30 ,$240.50 ,"$2,40,500.00 ",$2.17,"$6,797.14 ","$2,47,300.00 ",2.83%,2.41%,2.49%,5.10%,,,,,
ĀKO,The Coca-Cola Company,200,$72.88 ,$70.02 ,"$14,004.00 ",$0.27,$572.00 ,"$14,576.00 ",4.08%,0.14%,0.15%,0.34%,,,,,
ĀLLY,Eli Lilly and Company,347,"$1,104.34 ","$1,032.43 ","$3,58,253.21 ",-$5.60,"$24,952.77 ","$3,83,205.98 ",6.97%,3.58%,3.86%,7.37%,,,,,
ĀLMT,Lockheed Martin Corporation,200,$454.16 ,$483.50 ,"$96,700.00 ",$1.75 ,"-$5,868.00","$90,832.00 ",-6.07%,0.97%,0.91%,1.81%,,,,,
ĀMSFT,Microsoft Corporation,"1,275.00",$485.50 ,$483.68 ,"$6,16,692.00 ",$8.51 ,"$2,315.50","$6,19,012.50 ",0.38%,6.17%,6.23%,12.59%,,,,,
ĀVOO,Vanguard S&P 500 ETF,"4,700.00",$624.95 ,$607.24 ,"$28,54,028.00 ",$4.29 ,"$83,251.00","$29,37,265.00 ",2.92%,28.54%,29.57%,60.32%,,,,,
Portfolio ,,,,,"$47,58,037.81 ",,,"$48,88,140.68 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
Portoflio value,"$99,31,700.15",,,,,,,,,,,,,,,,
Beginning value,"$1,00,00,000.00 ",,,,,,,,,,,,,,,,
Total return (%),-0.68%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total Market Value,"$48,88,140.68 ",,,,,,,,,,,,,,,,
Total Cost Basis ,"$47,58,037.81 ",,,,,,,,,,,,,,,,
Total Unrealized P/L,"$1,30,102.87 ",,,,,,,,,,,,,,,,
Total return (%),2.73%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
